Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,7499.34,89992.08,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (Ohio),,Amazon Route 53,0,183,2196.00,USD,,"Number of Elastic Network Interfaces (2), Hosted Zones (1)"
My Estimate,US East (Ohio),,Application Load Balancer,0,90.19,1082.28,USD,,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),,VPN Connection,0,73,876.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (Ohio),,Amazon EC2 ,0,2313.6,27763.20,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (m5ad.4xlarge), Pricing strategy (Compute Savings Plans 3 Year  None upfront), Enable monitoring (disabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,4816,57792.00,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,,"Number of EC2 instances (6), Number of EIPs per instance (1)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
